gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
644 4 2 255 2 2 0.2
645 5 0 255 0 0 0.0
646 5 0 255 0 0 0.0
647 4 1 255 1 1 0.1
647 5 0 255 0 0 0.0
648 5 0 255 0 0 0.0
649 5 0 255 0 0 0.0
650 5 0 255 0 0 0.0
650 4 2 255 2 2 0.2
651 5 0 255 0 0 0.0
652 4 2 255 2 2 0.2
652 5 0 255 0 0 0.0
653 5 0 255 0 0 0.0
654 5 0 255 0 0 0.0
655 5 0 255 0 0 0.0
655 4 2 255 2 2 0.2
656 5 0 255 0 0 0.0
657 5 0 255 0 0 0.0
658 5 0 255 0 0 0.0
659 5 0 255 0 0 0.0
660 4 2 255 2 2 0.2
660 5 0 255 0 0 0.0
661 5 0 255 0 0 0.0
662 4 2 255 2 2 0.2
662 5 0 255 0 0 0.0
663 5 0 255 0 0 0.0
664 5 0 255 0 0 0.0
664 4 2 255 2 2 0.2
665 5 0 255 0 0 0.0
665 4 2 255 2 2 0.2
666 5 0 256 0 0 0.0
667 5 0 256 0 0 0.0
668 5 0 256 0 0 0.0
669 5 0 256 0 0 0.0
670 5 0 256 0 0 0.0
670 4 5 256 5 5 0.5
671 5 0 256 0 0 0.0
671 4 2 256 2 2 0.2
672 5 0 256 0 0 0.0
673 5 0 256 0 0 0.0
674 5 0 256 0 0 0.0
674 4 2 256 2 2 0.2
675 5 0 256 0 0 0.0
676 5 0 256 0 0 0.0
676 4 2 256 2 2 0.2
677 5 0 256 0 0 0.0
677 4 2 256 2 2 0.2
678 5 0 256 0 0 0.0
679 5 0 256 0 0 0.0
679 4 2 256 2 2 0.2
680 5 0 256 0 0 0.0
681 5 0 256 0 0 0.0
681 4 2 256 2 2 0.2
682 5 0 256 0 0 0.0
683 4 7 256 7 7 0.7
683 5 0 256 0 0 0.0
684 5 0 256 0 0 0.0
685 5 0 256 0 0 0.0
685 4 2 256 2 2 0.2
686 5 0 256 0 0 0.0
687 5 0 256 0 0 0.0
688 5 0 256 0 0 0.0
689 5 0 256 0 0 0.0
690 5 0 256 0 0 0.0
691 5 0 256 0 0 0.0
692 5 0 256 0 0 0.0
693 5 0 256 0 0 0.0
693 4 2 256 2 2 0.2
694 5 0 256 0 0 0.0
695 5 0 256 0 0 0.0
696 5 0 256 0 0 0.0
696 4 2 256 2 2 0.2
697 5 0 256 0 0 0.0
698 5 0 256 0 0 0.0
699 5 0 256 0 0 0.0
700 5 0 256 0 0 0.0
701 5 0 256 0 0 0.0
701 4 1 256 1 1 0.1
702 5 0 256 0 0 0.0
702 4 1 256 1 1 0.1
703 5 0 256 0 0 0.0
704 5 0 256 0 0 0.0
705 5 0 256 0 0 0.0
706 5 0 256 0 0 0.0
707 5 0 256 0 0 0.0
708 5 0 256 0 0 0.0
708 4 1 256 1 1 0.1
709 5 0 256 0 0 0.0
710 5 0 256 0 0 0.0
711 5 0 256 0 0 0.0
712 5 0 256 0 0 0.0
712 4 3 256 3 3 0.3
713 5 0 256 0 0 0.0
713 4 2 256 2 2 0.2
714 4 2 256 2 2 0.2
714 5 0 256 0 0 0.0
715 5 0 256 0 0 0.0
715 4 2 256 2 2 0.2
716 5 0 256 0 0 0.0
716 4 2 256 2 2 0.2
717 5 0 256 0 0 0.0
717 4 2 256 2 2 0.2
718 5 0 256 0 0 0.0
718 4 1 256 1 1 0.1
719 5 0 256 0 0 0.0
720 5 0 256 0 0 0.0
721 5 0 256 0 0 0.0
721 4 2 256 2 2 0.2
722 5 0 256 0 0 0.0
723 5 0 256 0 0 0.0
724 5 0 256 0 0 0.0
725 5 0 256 0 0 0.0
726 5 0 256 0 0 0.0
727 5 0 256 0 0 0.0
727 4 2 256 2 2 0.2
728 5 0 256 0 0 0.0
728 4 3 256 3 3 0.3
729 5 0 256 0 0 0.0
730 5 0 256 0 0 0.0
731 5 0 256 0 0 0.0
732 5 0 256 0 0 0.0
733 5 0 256 0 0 0.0
734 5 0 256 0 0 0.0
735 5 0 256 0 0 0.0
736 5 0 256 0 0 0.0
737 5 0 256 0 0 0.0
738 5 0 256 0 0 0.0
739 5 0 256 0 0 0.0
739 4 2 256 2 2 0.2
740 5 0 256 0 0 0.0
741 5 0 256 0 0 0.0
742 5 0 256 0 0 0.0
743 5 0 256 0 0 0.0
743 4 1 256 1 1 0.1
744 5 0 256 0 0 0.0
745 5 0 256 0 0 0.0
745 4 1 256 1 1 0.1
746 5 0 256 0 0 0.0
746 4 2 256 2 2 0.2
747 5 0 256 0 0 0.0
748 5 0 256 0 0 0.0
749 5 0 256 0 0 0.0
750 5 0 256 0 0 0.0
750 4 2 256 2 2 0.2
751 5 0 256 0 0 0.0
752 5 0 256 0 0 0.0
752 4 1 256 1 1 0.1
753 5 0 256 0 0 0.0
754 5 0 256 0 0 0.0
755 5 0 256 0 0 0.0
756 5 0 256 0 0 0.0
756 4 1 256 1 1 0.1
757 4 2 256 2 2 0.2
757 5 0 256 0 0 0.0
758 5 0 256 0 0 0.0
759 5 0 256 0 0 0.0
760 5 0 256 0 0 0.0
761 5 0 256 0 0 0.0
762 5 0 256 0 0 0.0
763 5 0 256 0 0 0.0
764 5 0 256 0 0 0.0
765 5 0 256 0 0 0.0
765 4 2 256 2 2 0.2
766 5 0 256 0 0 0.0
766 4 2 256 2 2 0.2
767 5 0 256 0 0 0.0
768 5 0 256 0 0 0.0
769 5 0 256 0 0 0.0
769 4 2 256 2 2 0.2
770 5 0 256 0 0 0.0
770 4 7 256 7 7 0.7
771 5 0 256 0 0 0.0
772 5 0 256 0 0 0.0
772 4 2 256 2 2 0.2
773 5 0 256 0 0 0.0
773 4 2 256 2 2 0.2
774 5 0 256 0 0 0.0
774 4 5 256 5 5 0.5
775 5 0 256 0 0 0.0
775 4 2 256 2 2 0.2
776 5 0 256 0 0 0.0
776 4 3 256 3 3 0.3
777 5 0 256 0 0 0.0
777 4 2 256 2 2 0.2
778 5 0 256 0 0 0.0
779 5 0 256 0 0 0.0
780 5 0 256 0 0 0.0
781 5 0 256 0 0 0.0
781 4 1 256 1 1 0.1
782 5 0 256 0 0 0.0
782 4 2 256 2 2 0.2
783 5 0 256 0 0 0.0
784 5 0 256 0 0 0.0
785 5 0 256 0 0 0.0
786 5 0 256 0 0 0.0
787 5 0 256 0 0 0.0
788 5 0 256 0 0 0.0
789 5 0 256 0 0 0.0
789 4 2 256 2 2 0.2
790 5 0 256 0 0 0.0
791 5 0 256 0 0 0.0
791 4 2 256 2 2 0.2
792 5 0 256 0 0 0.0
793 5 0 256 0 0 0.0
793 4 1 256 1 1 0.1
794 5 0 256 0 0 0.0
795 5 0 256 0 0 0.0
796 5 0 256 0 0 0.0
796 4 1 256 1 1 0.1
797 5 0 256 0 0 0.0
798 5 0 256 0 0 0.0
799 5 0 256 0 0 0.0
800 5 0 256 0 0 0.0
801 5 0 256 0 0 0.0
801 4 1 256 1 1 0.1
802 5 0 256 0 0 0.0
803 5 0 256 0 0 0.0
804 5 0 256 0 0 0.0
805 5 0 256 0 0 0.0
806 5 0 256 0 0 0.0
807 5 0 256 0 0 0.0
808 4 5 256 5 5 0.5
808 5 0 256 0 0 0.0
809 5 0 256 0 0 0.0
809 4 1 256 1 1 0.1
810 5 0 256 0 0 0.0
811 5 0 256 0 0 0.0
811 4 1 256 1 1 0.1
812 5 0 256 0 0 0.0
813 5 0 256 0 0 0.0
814 4 7 256 7 7 0.7
814 5 0 256 0 0 0.0
815 5 0 256 0 0 0.0
815 4 2 256 2 2 0.2
816 5 0 256 0 0 0.0
816 4 1 256 1 1 0.1
817 5 0 256 0 0 0.0
818 5 0 256 0 0 0.0
818 4 7 256 7 7 0.7
819 5 0 256 0 0 0.0
819 4 1 256 1 1 0.1
820 5 0 256 0 0 0.0
820 4 1 256 1 1 0.1
821 5 0 256 0 0 0.0
822 5 0 256 0 0 0.0
823 5 0 256 0 0 0.0
824 5 0 256 0 0 0.0
825 5 0 256 0 0 0.0
826 5 0 256 0 0 0.0
827 5 0 256 0 0 0.0
828 5 0 256 0 0 0.0
829 5 0 256 0 0 0.0
830 5 0 256 0 0 0.0
831 5 0 256 0 0 0.0
831 4 3 256 3 3 0.3
832 5 0 256 0 0 0.0
833 5 0 256 0 0 0.0
833 4 1 256 1 1 0.1
834 5 0 256 0 0 0.0
835 5 0 256 0 0 0.0
836 4 1 256 1 1 0.1
836 5 0 256 0 0 0.0
837 5 0 256 0 0 0.0
838 5 0 256 0 0 0.0
839 5 0 256 0 0 0.0
840 5 0 256 0 0 0.0
840 4 1 256 1 1 0.1
841 5 0 256 0 0 0.0
842 5 0 256 0 0 0.0
843 5 0 256 0 0 0.0
844 5 0 256 0 0 0.0
845 5 0 256 0 0 0.0
846 5 0 256 0 0 0.0
847 5 0 256 0 0 0.0
848 5 0 256 0 0 0.0
848 4 2 256 2 2 0.2
849 5 0 256 0 0 0.0
850 5 0 256 0 0 0.0
850 4 10 256 10 10 1.0
851 5 0 256 0 0 0.0
851 4 1 256 1 1 0.1
852 5 0 256 0 0 0.0
852 4 2 256 2 2 0.2
853 5 0 256 0 0 0.0
854 5 0 256 0 0 0.0
855 5 0 256 0 0 0.0
856 5 0 256 0 0 0.0
857 5 0 256 0 0 0.0
858 5 0 256 0 0 0.0
858 4 2 256 2 2 0.2
859 5 0 256 0 0 0.0
859 4 2 256 2 2 0.2
860 5 0 256 0 0 0.0
861 5 0 256 0 0 0.0
861 4 2 256 2 2 0.2
862 5 0 256 0 0 0.0
863 5 0 256 0 0 0.0
863 4 2 256 2 2 0.2
864 5 0 256 0 0 0.0
865 5 0 256 0 0 0.0
866 5 0 256 0 0 0.0
867 5 0 256 0 0 0.0
868 5 0 256 0 0 0.0
869 5 0 256 0 0 0.0
870 5 0 256 0 0 0.0
871 4 1 256 1 1 0.1
871 5 0 256 0 0 0.0
872 5 0 256 0 0 0.0
873 5 0 256 0 0 0.0
874 5 0 256 0 0 0.0
875 5 0 256 0 0 0.0
875 4 2 256 2 2 0.2
876 5 0 256 0 0 0.0
877 5 0 256 0 0 0.0
878 5 0 256 0 0 0.0
879 5 0 256 0 0 0.0
880 5 0 256 0 0 0.0
881 5 0 256 0 0 0.0
882 5 0 256 0 0 0.0
883 5 0 256 0 0 0.0
884 5 0 256 0 0 0.0
885 5 0 256 0 0 0.0
886 5 0 256 0 0 0.0
886 4 5 256 5 5 0.5
887 5 0 256 0 0 0.0
888 5 0 256 0 0 0.0
889 5 0 256 0 0 0.0
890 5 0 256 0 0 0.0
891 5 0 256 0 0 0.0
891 4 2 256 2 2 0.2
892 5 0 256 0 0 0.0
892 4 2 256 2 2 0.2
893 5 0 256 0 0 0.0
894 5 0 256 0 0 0.0
895 5 0 256 0 0 0.0
896 5 0 256 0 0 0.0
897 5 0 256 0 0 0.0
897 4 2 256 2 2 0.2
898 5 0 256 0 0 0.0
899 5 0 256 0 0 0.0
900 5 0 256 0 0 0.0
901 4 1 256 1 1 0.1
901 5 0 256 0 0 0.0
902 5 0 256 0 0 0.0
903 4 2 256 2 2 0.2
903 5 0 256 0 0 0.0
904 5 0 256 0 0 0.0
905 5 0 256 0 0 0.0
906 5 0 256 0 0 0.0
906 4 2 256 2 2 0.2
907 5 0 256 0 0 0.0
908 5 0 256 0 0 0.0
909 5 0 256 0 0 0.0
909 4 2 256 2 2 0.2
910 5 0 256 0 0 0.0
911 5 0 256 0 0 0.0
912 5 0 256 0 0 0.0
913 5 0 256 0 0 0.0
913 4 3 256 3 3 0.3
914 5 0 256 0 0 0.0
915 5 0 256 0 0 0.0
915 4 2 256 2 2 0.2
916 5 0 256 0 0 0.0
916 4 1 256 1 1 0.1
917 5 0 256 0 0 0.0
917 4 1 256 1 1 0.1
918 4 2 256 2 2 0.2
918 5 0 256 0 0 0.0
919 5 0 256 0 0 0.0
920 5 0 256 0 0 0.0
921 5 0 256 0 0 0.0
922 5 0 256 0 0 0.0
922 4 2 256 2 2 0.2
923 5 0 256 0 0 0.0
923 4 3 256 3 3 0.3
924 5 0 256 0 0 0.0
925 5 0 256 0 0 0.0
926 5 0 256 0 0 0.0
927 4 2 256 2 2 0.2
927 5 0 256 0 0 0.0
928 5 0 256 0 0 0.0
929 4 1 256 1 1 0.1
929 5 0 256 0 0 0.0
930 5 0 256 0 0 0.0
931 5 0 256 0 0 0.0
932 5 0 256 0 0 0.0
932 4 2 256 2 2 0.2
933 5 0 256 0 0 0.0
934 5 0 256 0 0 0.0
935 5 0 256 0 0 0.0
936 5 0 256 0 0 0.0
937 5 0 256 0 0 0.0
937 4 1 256 1 1 0.1
938 5 0 256 0 0 0.0
939 5 0 256 0 0 0.0
940 5 0 256 0 0 0.0
941 5 0 256 0 0 0.0
942 5 0 256 0 0 0.0
942 4 2 256 2 2 0.2
943 4 2 256 2 2 0.2
943 5 0 256 0 0 0.0
944 5 0 256 0 0 0.0
945 5 0 256 0 0 0.0
945 4 1 256 1 1 0.1
946 5 0 256 0 0 0.0
947 5 0 256 0 0 0.0
948 5 0 256 0 0 0.0
948 4 2 256 2 2 0.2
949 5 0 256 0 0 0.0
950 5 0 256 0 0 0.0
951 5 0 256 0 0 0.0
952 5 0 256 0 0 0.0
953 5 0 256 0 0 0.0
953 4 2 256 2 2 0.2
954 5 0 256 0 0 0.0
955 5 0 256 0 0 0.0
955 4 1 256 1 1 0.1
956 5 0 256 0 0 0.0
957 5 0 256 0 0 0.0
958 5 0 256 0 0 0.0
959 5 0 256 0 0 0.0
959 4 6 256 6 6 0.6
960 5 0 256 0 0 0.0
960 4 2 256 2 2 0.2
961 5 0 256 0 0 0.0
961 4 1 256 1 1 0.1
962 5 0 256 0 0 0.0
963 5 0 256 0 0 0.0
963 4 1 256 1 1 0.1
964 5 0 256 0 0 0.0
965 5 0 256 0 0 0.0
966 5 0 256 0 0 0.0
967 5 0 256 0 0 0.0
968 5 0 256 0 0 0.0
969 5 0 256 0 0 0.0
970 5 0 256 0 0 0.0
971 5 0 256 0 0 0.0
972 5 0 256 0 0 0.0
973 5 0 256 0 0 0.0
974 4 2 256 2 2 0.2
974 5 0 256 0 0 0.0
975 5 0 256 0 0 0.0
976 5 0 256 0 0 0.0
977 5 0 256 0 0 0.0
977 4 1 256 1 1 0.1
978 5 0 256 0 0 0.0
978 4 1 256 1 1 0.1
979 5 0 256 0 0 0.0
980 5 0 256 0 0 0.0
981 5 0 256 0 0 0.0
981 4 2 256 2 2 0.2
982 5 0 256 0 0 0.0
983 5 0 256 0 0 0.0
984 5 0 256 0 0 0.0
984 4 2 256 2 2 0.2
985 5 0 256 0 0 0.0
985 4 1 256 1 1 0.1
986 5 0 256 0 0 0.0
986 4 2 256 2 2 0.2
987 5 0 256 0 0 0.0
988 5 0 256 0 0 0.0
988 4 1 256 1 1 0.1
989 5 0 256 0 0 0.0
990 5 0 256 0 0 0.0
990 4 1 256 1 1 0.1
991 4 5 256 5 5 0.5
991 5 0 256 0 0 0.0
992 5 0 256 0 0 0.0
993 5 0 256 0 0 0.0
994 5 0 256 0 0 0.0
994 4 2 256 2 2 0.2
995 4 2 256 2 2 0.2
995 5 0 256 0 0 0.0
996 5 0 256 0 0 0.0
997 5 0 256 0 0 0.0
998 5 0 256 0 0 0.0
999 5 0 256 0 0 0.0
1000 5 0 256 0 0 0.0
