gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
77 3 0 231 0 0 0.0
78 3 0 232 0 0 0.0
79 3 0 234 0 0 0.0
80 3 0 236 0 0 0.0
81 3 0 236 0 0 0.0
82 3 0 236 0 0 0.0
83 3 0 237 0 0 0.0
84 3 0 238 0 0 0.0
85 3 0 239 0 0 0.0
86 3 0 242 0 0 0.0
86 2 4 244 4 4 0.4
87 3 0 245 0 0 0.0
87 2 1 245 1 1 0.1
88 3 0 246 0 0 0.0
89 3 0 249 0 0 0.0
90 3 0 253 0 0 0.0
91 3 0 254 0 0 0.0
92 3 0 255 0 0 0.0
93 3 0 256 0 0 0.0
94 3 0 256 0 0 0.0
95 3 0 256 0 0 0.0
95 2 4 256 4 4 0.4
96 3 0 257 0 0 0.0
97 3 0 258 0 0 0.0
98 3 0 260 0 0 0.0
99 3 0 261 0 0 0.0
100 3 0 264 0 0 0.0
100 2 4 264 4 4 0.4
101 3 0 266 0 0 0.0
102 3 0 269 0 0 0.0
103 3 0 270 0 0 0.0
103 2 4 271 4 4 0.4
104 3 0 272 0 0 0.0
105 3 0 274 0 0 0.0
106 3 0 275 0 0 0.0
107 3 0 277 0 0 0.0
108 3 0 278 0 0 0.0
109 3 0 279 0 0 0.0
110 3 0 280 0 0 0.0
111 3 0 282 0 0 0.0
112 3 0 282 0 0 0.0
113 3 0 284 0 0 0.0
114 3 0 285 0 0 0.0
115 3 0 286 0 0 0.0
116 3 0 286 0 0 0.0
117 3 0 288 0 0 0.0
118 3 0 290 0 0 0.0
119 3 0 290 0 0 0.0
120 3 0 291 0 0 0.0
121 3 0 292 0 0 0.0
122 3 0 293 0 0 0.0
123 3 0 295 0 0 0.0
124 3 0 296 0 0 0.0
125 3 0 298 0 0 0.0
126 3 0 298 0 0 0.0
127 3 0 299 0 0 0.0
128 3 0 300 0 0 0.0
129 3 0 301 0 0 0.0
130 3 0 301 0 0 0.0
131 3 0 303 0 0 0.0
132 3 0 303 0 0 0.0
133 3 0 303 0 0 0.0
134 3 0 304 0 0 0.0
135 3 0 306 0 0 0.0
136 3 0 308 0 0 0.0
137 3 0 309 0 0 0.0
138 3 0 313 0 0 0.0
139 3 0 314 0 0 0.0
140 3 0 315 0 0 0.0
141 3 0 317 0 0 0.0
142 3 0 321 0 0 0.0
143 3 0 322 0 0 0.0
144 3 0 322 0 0 0.0
145 3 0 322 0 0 0.0
146 3 0 323 0 0 0.0
147 3 0 323 0 0 0.0
147 2 1 323 1 1 0.1
148 3 0 323 0 0 0.0
149 3 0 324 0 0 0.0
150 3 0 326 0 0 0.0
151 3 0 328 0 0 0.0
151 2 3 329 3 3 0.3
152 3 0 329 0 0 0.0
153 3 0 331 0 0 0.0
154 3 0 332 0 0 0.0
155 3 0 334 0 0 0.0
156 3 0 334 0 0 0.0
157 3 0 335 0 0 0.0
158 3 0 337 0 0 0.0
159 3 0 337 0 0 0.0
160 3 0 338 0 0 0.0
161 3 0 339 0 0 0.0
162 3 0 339 0 0 0.0
163 3 0 340 0 0 0.0
164 3 0 340 0 0 0.0
165 3 0 340 0 0 0.0
166 3 0 342 0 0 0.0
167 3 0 343 0 0 0.0
167 2 5 344 5 5 0.5
168 3 0 345 0 0 0.0
169 3 0 346 0 0 0.0
170 3 0 347 0 0 0.0
171 3 0 348 0 0 0.0
172 3 0 351 0 0 0.0
173 3 0 351 0 0 0.0
174 3 0 352 0 0 0.0
175 3 0 354 0 0 0.0
176 3 0 355 0 0 0.0
177 3 0 355 0 0 0.0
178 2 4 356 4 4 0.4
178 3 0 356 0 0 0.0
179 3 0 356 0 0 0.0
180 3 0 357 0 0 0.0
181 2 3 358 3 3 0.3
181 3 0 358 0 0 0.0
182 3 0 360 0 0 0.0
183 3 0 363 0 0 0.0
184 3 0 364 0 0 0.0
185 3 0 366 0 0 0.0
186 3 0 366 0 0 0.0
187 2 4 366 4 4 0.4
187 3 0 366 0 0 0.0
188 3 0 367 0 0 0.0
189 3 0 367 0 0 0.0
190 3 0 368 0 0 0.0
191 3 0 368 0 0 0.0
192 3 0 369 0 0 0.0
193 3 0 369 0 0 0.0
194 3 0 369 0 0 0.0
195 3 0 369 0 0 0.0
196 3 0 370 0 0 0.0
197 3 0 370 0 0 0.0
198 3 0 370 0 0 0.0
199 3 0 370 0 0 0.0
199 2 1 370 1 1 0.1
200 3 0 371 0 0 0.0
201 3 0 371 0 0 0.0
202 3 0 372 0 0 0.0
203 3 0 372 0 0 0.0
204 3 0 372 0 0 0.0
205 3 0 374 0 0 0.0
206 3 0 375 0 0 0.0
207 3 0 375 0 0 0.0
208 3 0 375 0 0 0.0
209 3 0 375 0 0 0.0
210 3 0 375 0 0 0.0
210 2 4 375 4 4 0.4
211 3 0 376 0 0 0.0
212 3 0 377 0 0 0.0
213 3 0 377 0 0 0.0
214 3 0 377 0 0 0.0
215 3 0 377 0 0 0.0
216 3 0 377 0 0 0.0
217 3 0 377 0 0 0.0
218 3 0 377 0 0 0.0
219 3 0 377 0 0 0.0
220 3 0 377 0 0 0.0
221 2 1 377 1 1 0.1
221 3 0 377 0 0 0.0
222 3 0 377 0 0 0.0
223 3 0 378 0 0 0.0
224 3 0 378 0 0 0.0
225 3 0 379 0 0 0.0
226 3 0 379 0 0 0.0
227 3 0 379 0 0 0.0
228 3 0 379 0 0 0.0
229 3 0 379 0 0 0.0
230 3 0 379 0 0 0.0
231 3 0 379 0 0 0.0
232 3 0 380 0 0 0.0
233 3 0 380 0 0 0.0
234 3 0 381 0 0 0.0
235 3 0 381 0 0 0.0
236 3 0 382 0 0 0.0
237 3 0 382 0 0 0.0
238 3 0 382 0 0 0.0
239 3 0 382 0 0 0.0
240 3 0 384 0 0 0.0
241 3 0 384 0 0 0.0
242 3 0 384 0 0 0.0
242 2 4 384 4 4 0.4
243 3 0 384 0 0 0.0
244 3 0 386 0 0 0.0
245 3 0 386 0 0 0.0
246 3 0 386 0 0 0.0
247 3 0 386 0 0 0.0
248 3 0 386 0 0 0.0
249 3 0 387 0 0 0.0
250 3 0 387 0 0 0.0
251 3 0 388 0 0 0.0
252 3 0 389 0 0 0.0
253 3 0 389 0 0 0.0
253 2 4 389 4 4 0.4
254 3 0 389 0 0 0.0
255 3 0 389 0 0 0.0
256 3 0 389 0 0 0.0
257 3 0 389 0 0 0.0
257 2 4 389 4 4 0.4
258 3 0 390 0 0 0.0
259 3 0 390 0 0 0.0
260 3 0 390 0 0 0.0
261 3 0 391 0 0 0.0
262 3 0 391 0 0 0.0
263 3 0 391 0 0 0.0
264 3 0 391 0 0 0.0
265 3 0 391 0 0 0.0
266 3 0 391 0 0 0.0
267 3 0 391 0 0 0.0
268 3 0 391 0 0 0.0
269 3 0 392 0 0 0.0
270 3 0 392 0 0 0.0
271 3 0 392 0 0 0.0
272 3 0 392 0 0 0.0
273 3 0 392 0 0 0.0
274 3 0 393 0 0 0.0
275 3 0 393 0 0 0.0
276 3 0 393 0 0 0.0
276 2 5 394 5 5 0.5
277 3 0 394 0 0 0.0
277 2 3 394 3 3 0.3
278 3 0 394 0 0 0.0
279 3 0 394 0 0 0.0
280 3 0 394 0 0 0.0
280 2 1 394 1 1 0.1
281 3 0 395 0 0 0.0
282 3 0 395 0 0 0.0
283 3 0 395 0 0 0.0
284 3 0 395 0 0 0.0
285 3 0 395 0 0 0.0
286 3 0 395 0 0 0.0
287 3 0 395 0 0 0.0
288 3 0 396 0 0 0.0
289 3 0 398 0 0 0.0
289 2 4 398 4 4 0.4
290 3 0 398 0 0 0.0
291 3 0 398 0 0 0.0
292 3 0 398 0 0 0.0
293 3 0 399 0 0 0.0
294 3 0 400 0 0 0.0
295 3 0 400 0 0 0.0
296 3 0 400 0 0 0.0
297 3 0 401 0 0 0.0
298 3 0 401 0 0 0.0
299 3 0 403 0 0 0.0
300 3 0 403 0 0 0.0
301 3 0 403 0 0 0.0
302 3 0 403 0 0 0.0
303 3 0 403 0 0 0.0
304 3 0 404 0 0 0.0
305 3 0 404 0 0 0.0
306 3 0 404 0 0 0.0
307 3 0 404 0 0 0.0
308 3 0 404 0 0 0.0
309 3 0 404 0 0 0.0
310 3 0 404 0 0 0.0
311 3 0 404 0 0 0.0
312 3 0 404 0 0 0.0
313 3 0 404 0 0 0.0
314 3 0 404 0 0 0.0
315 3 0 405 0 0 0.0
316 3 0 405 0 0 0.0
317 3 0 405 0 0 0.0
318 3 0 406 0 0 0.0
319 3 0 406 0 0 0.0
320 3 0 406 0 0 0.0
321 3 0 407 0 0 0.0
321 2 4 407 4 4 0.4
322 3 0 408 0 0 0.0
323 3 0 409 0 0 0.0
324 3 0 409 0 0 0.0
325 3 0 409 0 0 0.0
326 3 0 409 0 0 0.0
327 3 0 409 0 0 0.0
328 3 0 409 0 0 0.0
329 3 0 409 0 0 0.0
330 3 0 409 0 0 0.0
331 3 0 409 0 0 0.0
332 3 0 409 0 0 0.0
333 3 0 410 0 0 0.0
334 3 0 410 0 0 0.0
335 3 0 412 0 0 0.0
336 3 0 412 0 0 0.0
337 3 0 413 0 0 0.0
338 3 0 413 0 0 0.0
339 3 0 414 0 0 0.0
340 3 0 414 0 0 0.0
341 3 0 414 0 0 0.0
342 3 0 415 0 0 0.0
343 3 0 415 0 0 0.0
344 3 0 415 0 0 0.0
344 2 4 415 4 4 0.4
345 3 0 415 0 0 0.0
346 3 0 415 0 0 0.0
347 3 0 415 0 0 0.0
348 3 0 416 0 0 0.0
349 3 0 416 0 0 0.0
350 3 0 417 0 0 0.0
351 3 0 417 0 0 0.0
352 3 0 417 0 0 0.0
353 3 0 417 0 0 0.0
354 3 0 418 0 0 0.0
355 3 0 418 0 0 0.0
356 3 0 418 0 0 0.0
357 3 0 418 0 0 0.0
358 3 0 418 0 0 0.0
359 3 0 418 0 0 0.0
360 3 0 418 0 0 0.0
361 3 0 420 0 0 0.0
362 3 0 420 0 0 0.0
363 3 0 420 0 0 0.0
364 3 0 420 0 0 0.0
365 3 0 422 0 0 0.0
366 3 0 422 0 0 0.0
367 3 0 422 0 0 0.0
368 3 0 423 0 0 0.0
368 2 4 423 4 4 0.4
369 3 0 423 0 0 0.0
370 3 0 423 0 0 0.0
370 2 4 423 4 4 0.4
371 3 0 423 0 0 0.0
372 3 0 423 0 0 0.0
373 3 0 423 0 0 0.0
374 3 0 423 0 0 0.0
375 3 0 423 0 0 0.0
376 3 0 423 0 0 0.0
377 3 0 423 0 0 0.0
378 3 0 423 0 0 0.0
379 3 0 423 0 0 0.0
380 3 0 423 0 0 0.0
380 2 4 423 4 4 0.4
381 3 0 423 0 0 0.0
381 2 3 423 3 3 0.3
382 3 0 423 0 0 0.0
383 3 0 423 0 0 0.0
384 3 0 423 0 0 0.0
385 3 0 424 0 0 0.0
386 3 0 424 0 0 0.0
387 3 0 424 0 0 0.0
388 3 0 424 0 0 0.0
389 3 0 424 0 0 0.0
390 3 0 424 0 0 0.0
391 3 0 424 0 0 0.0
392 3 0 424 0 0 0.0
393 3 0 424 0 0 0.0
394 3 0 424 0 0 0.0
395 3 0 425 0 0 0.0
396 3 0 425 0 0 0.0
397 3 0 425 0 0 0.0
398 3 0 425 0 0 0.0
399 3 0 425 0 0 0.0
400 3 0 425 0 0 0.0
401 3 0 425 0 0 0.0
402 3 0 425 0 0 0.0
403 3 0 425 0 0 0.0
404 3 0 425 0 0 0.0
404 2 4 425 4 4 0.4
405 3 0 426 0 0 0.0
406 3 0 426 0 0 0.0
407 3 0 426 0 0 0.0
408 3 0 426 0 0 0.0
409 3 0 427 0 0 0.0
410 3 0 427 0 0 0.0
411 3 0 427 0 0 0.0
412 3 0 428 0 0 0.0
413 3 0 428 0 0 0.0
414 3 0 428 0 0 0.0
415 3 0 429 0 0 0.0
416 3 0 429 0 0 0.0
417 3 0 429 0 0 0.0
418 3 0 429 0 0 0.0
419 3 0 429 0 0 0.0
420 3 0 429 0 0 0.0
421 3 0 429 0 0 0.0
422 3 0 430 0 0 0.0
423 3 0 430 0 0 0.0
424 3 0 430 0 0 0.0
425 3 0 430 0 0 0.0
426 3 0 430 0 0 0.0
427 3 0 431 0 0 0.0
428 3 0 432 0 0 0.0
429 3 0 432 0 0 0.0
430 3 0 432 0 0 0.0
431 3 0 432 0 0 0.0
432 3 0 432 0 0 0.0
433 3 0 432 0 0 0.0
434 3 0 432 0 0 0.0
435 3 0 432 0 0 0.0
436 3 0 433 0 0 0.0
437 3 0 433 0 0 0.0
438 3 0 433 0 0 0.0
439 3 0 433 0 0 0.0
440 3 0 433 0 0 0.0
441 3 0 433 0 0 0.0
442 3 0 433 0 0 0.0
443 3 0 433 0 0 0.0
444 3 0 433 0 0 0.0
445 3 0 433 0 0 0.0
446 3 0 433 0 0 0.0
447 3 0 433 0 0 0.0
448 3 0 433 0 0 0.0
449 3 0 433 0 0 0.0
450 3 0 434 0 0 0.0
451 3 0 434 0 0 0.0
452 3 0 434 0 0 0.0
453 3 0 434 0 0 0.0
454 3 0 434 0 0 0.0
455 3 0 435 0 0 0.0
456 3 0 435 0 0 0.0
457 3 0 435 0 0 0.0
458 3 0 435 0 0 0.0
459 3 0 435 0 0 0.0
460 3 0 435 0 0 0.0
461 3 0 436 0 0 0.0
462 3 0 436 0 0 0.0
463 3 0 436 0 0 0.0
464 3 0 436 0 0 0.0
465 3 0 436 0 0 0.0
466 3 0 437 0 0 0.0
467 3 0 437 0 0 0.0
468 3 0 437 0 0 0.0
469 3 0 437 0 0 0.0
470 3 0 437 0 0 0.0
471 3 0 437 0 0 0.0
472 3 0 437 0 0 0.0
473 3 0 437 0 0 0.0
474 3 0 437 0 0 0.0
475 3 0 437 0 0 0.0
476 3 0 437 0 0 0.0
477 3 0 437 0 0 0.0
478 3 0 437 0 0 0.0
479 3 0 437 0 0 0.0
479 2 4 437 4 4 0.4
480 3 0 437 0 0 0.0
481 3 0 437 0 0 0.0
482 3 0 437 0 0 0.0
483 3 0 437 0 0 0.0
484 3 0 437 0 0 0.0
485 3 0 437 0 0 0.0
486 3 0 437 0 0 0.0
487 3 0 437 0 0 0.0
487 2 4 437 4 4 0.4
488 3 0 437 0 0 0.0
489 3 0 437 0 0 0.0
490 3 0 438 0 0 0.0
491 3 0 438 0 0 0.0
492 3 0 438 0 0 0.0
492 2 4 438 4 4 0.4
493 3 0 438 0 0 0.0
494 3 0 438 0 0 0.0
495 3 0 438 0 0 0.0
495 2 4 440 4 4 0.4
496 3 0 440 0 0 0.0
497 3 0 440 0 0 0.0
498 3 0 440 0 0 0.0
499 3 0 440 0 0 0.0
500 3 0 440 0 0 0.0
500 2 4 440 4 4 0.4
501 3 0 440 0 0 0.0
502 3 0 440 0 0 0.0
503 3 0 440 0 0 0.0
504 3 0 440 0 0 0.0
505 3 0 440 0 0 0.0
506 3 0 440 0 0 0.0
507 3 0 440 0 0 0.0
508 3 0 440 0 0 0.0
509 3 0 440 0 0 0.0
510 3 0 440 0 0 0.0
511 3 0 440 0 0 0.0
512 3 0 440 0 0 0.0
513 3 0 441 0 0 0.0
514 3 0 441 0 0 0.0
515 3 0 442 0 0 0.0
516 3 0 442 0 0 0.0
516 2 3 442 3 3 0.3
517 3 0 442 0 0 0.0
518 3 0 442 0 0 0.0
519 3 0 442 0 0 0.0
520 3 0 442 0 0 0.0
521 3 0 442 0 0 0.0
522 3 0 442 0 0 0.0
523 3 0 442 0 0 0.0
524 3 0 442 0 0 0.0
525 3 0 442 0 0 0.0
526 3 0 442 0 0 0.0
527 3 0 442 0 0 0.0
528 3 0 442 0 0 0.0
528 2 4 442 4 4 0.4
529 3 0 442 0 0 0.0
530 3 0 442 0 0 0.0
531 3 0 442 0 0 0.0
532 3 0 442 0 0 0.0
533 3 0 442 0 0 0.0
534 3 0 442 0 0 0.0
534 2 4 442 4 4 0.4
535 3 0 442 0 0 0.0
536 3 0 443 0 0 0.0
537 3 0 443 0 0 0.0
538 3 0 443 0 0 0.0
539 3 0 443 0 0 0.0
540 3 0 443 0 0 0.0
541 3 0 443 0 0 0.0
542 3 0 443 0 0 0.0
543 3 0 443 0 0 0.0
544 3 0 443 0 0 0.0
545 3 0 443 0 0 0.0
546 3 0 443 0 0 0.0
547 3 0 443 0 0 0.0
548 3 0 443 0 0 0.0
549 3 0 443 0 0 0.0
550 3 0 443 0 0 0.0
551 3 0 443 0 0 0.0
552 3 0 443 0 0 0.0
553 3 0 443 0 0 0.0
554 3 0 443 0 0 0.0
555 3 0 443 0 0 0.0
556 3 0 443 0 0 0.0
557 3 0 443 0 0 0.0
558 3 0 443 0 0 0.0
559 3 0 443 0 0 0.0
559 2 1 443 1 1 0.1
560 3 0 443 0 0 0.0
561 3 0 443 0 0 0.0
562 3 0 443 0 0 0.0
563 3 0 444 0 0 0.0
564 3 0 444 0 0 0.0
565 3 0 444 0 0 0.0
566 3 0 444 0 0 0.0
567 3 0 444 0 0 0.0
568 3 0 444 0 0 0.0
568 2 3 444 3 3 0.3
569 3 0 444 0 0 0.0
570 3 0 444 0 0 0.0
571 3 0 444 0 0 0.0
572 3 0 444 0 0 0.0
573 3 0 444 0 0 0.0
574 3 0 444 0 0 0.0
575 3 0 445 0 0 0.0
576 3 0 445 0 0 0.0
577 2 4 445 4 4 0.4
577 3 0 445 0 0 0.0
578 3 0 445 0 0 0.0
579 3 0 445 0 0 0.0
580 3 0 445 0 0 0.0
581 3 0 445 0 0 0.0
582 3 0 445 0 0 0.0
583 3 0 445 0 0 0.0
584 3 0 445 0 0 0.0
585 3 0 445 0 0 0.0
586 3 0 445 0 0 0.0
587 3 0 445 0 0 0.0
588 3 0 445 0 0 0.0
589 3 0 445 0 0 0.0
590 3 0 445 0 0 0.0
591 3 0 445 0 0 0.0
592 3 0 445 0 0 0.0
593 3 0 445 0 0 0.0
594 3 0 445 0 0 0.0
595 3 0 445 0 0 0.0
596 3 0 445 0 0 0.0
597 3 0 445 0 0 0.0
598 3 0 445 0 0 0.0
599 3 0 445 0 0 0.0
600 3 0 445 0 0 0.0
601 3 0 445 0 0 0.0
602 3 0 445 0 0 0.0
603 3 0 445 0 0 0.0
604 3 0 445 0 0 0.0
605 3 0 445 0 0 0.0
605 2 4 445 4 4 0.4
606 3 0 446 0 0 0.0
607 3 0 446 0 0 0.0
608 3 0 446 0 0 0.0
609 3 0 446 0 0 0.0
610 3 0 446 0 0 0.0
611 3 0 446 0 0 0.0
612 3 0 446 0 0 0.0
613 3 0 446 0 0 0.0
614 3 0 446 0 0 0.0
615 3 0 446 0 0 0.0
615 2 3 446 3 3 0.3
616 3 0 446 0 0 0.0
617 3 0 446 0 0 0.0
618 3 0 446 0 0 0.0
619 3 0 446 0 0 0.0
620 3 0 446 0 0 0.0
621 3 0 446 0 0 0.0
622 3 0 446 0 0 0.0
623 3 0 446 0 0 0.0
624 3 0 446 0 0 0.0
624 2 4 446 4 4 0.4
625 3 0 446 0 0 0.0
626 3 0 446 0 0 0.0
627 3 0 446 0 0 0.0
628 3 0 446 0 0 0.0
629 3 0 446 0 0 0.0
630 3 0 446 0 0 0.0
631 3 0 446 0 0 0.0
632 3 0 446 0 0 0.0
633 3 0 446 0 0 0.0
633 2 4 446 4 4 0.4
634 3 0 446 0 0 0.0
635 3 0 446 0 0 0.0
636 3 0 446 0 0 0.0
637 3 0 446 0 0 0.0
638 3 0 446 0 0 0.0
638 2 4 446 4 4 0.4
639 3 0 446 0 0 0.0
640 3 0 446 0 0 0.0
641 3 0 446 0 0 0.0
642 3 0 446 0 0 0.0
643 3 0 446 0 0 0.0
644 3 0 446 0 0 0.0
645 3 0 446 0 0 0.0
646 3 0 446 0 0 0.0
647 3 0 446 0 0 0.0
648 3 0 446 0 0 0.0
649 3 0 446 0 0 0.0
650 3 0 446 0 0 0.0
651 3 0 446 0 0 0.0
651 2 4 446 4 4 0.4
652 3 0 446 0 0 0.0
653 3 0 447 0 0 0.0
654 3 0 448 0 0 0.0
654 2 4 448 4 4 0.4
655 3 0 448 0 0 0.0
656 3 0 448 0 0 0.0
657 3 0 448 0 0 0.0
658 3 0 448 0 0 0.0
659 3 0 448 0 0 0.0
660 3 0 448 0 0 0.0
660 2 4 448 4 4 0.4
661 3 0 448 0 0 0.0
662 3 0 448 0 0 0.0
663 3 0 448 0 0 0.0
664 3 0 448 0 0 0.0
665 3 0 448 0 0 0.0
666 3 0 448 0 0 0.0
667 3 0 448 0 0 0.0
668 3 0 448 0 0 0.0
669 3 0 448 0 0 0.0
670 3 0 448 0 0 0.0
671 3 0 448 0 0 0.0
672 3 0 448 0 0 0.0
673 3 0 448 0 0 0.0
674 3 0 448 0 0 0.0
675 3 0 448 0 0 0.0
676 3 0 448 0 0 0.0
677 3 0 448 0 0 0.0
678 3 0 448 0 0 0.0
679 3 0 448 0 0 0.0
680 3 0 448 0 0 0.0
681 3 0 448 0 0 0.0
681 2 1 448 1 1 0.1
682 3 0 448 0 0 0.0
683 3 0 448 0 0 0.0
684 3 0 448 0 0 0.0
685 3 0 448 0 0 0.0
686 3 0 448 0 0 0.0
687 3 0 448 0 0 0.0
688 3 0 448 0 0 0.0
689 3 0 448 0 0 0.0
690 3 0 448 0 0 0.0
691 3 0 448 0 0 0.0
692 3 0 448 0 0 0.0
693 3 0 448 0 0 0.0
693 2 4 448 4 4 0.4
694 3 0 448 0 0 0.0
695 3 0 448 0 0 0.0
696 3 0 448 0 0 0.0
697 3 0 448 0 0 0.0
698 3 0 449 0 0 0.0
699 2 0 449 0 0 0.0
700 2 0 449 0 0 0.0
701 2 0 449 0 0 0.0
702 2 0 449 0 0 0.0
703 2 0 449 0 0 0.0
704 2 0 449 0 0 0.0
705 2 0 449 0 0 0.0
706 2 0 449 0 0 0.0
707 2 0 449 0 0 0.0
708 2 0 449 0 0 0.0
709 2 0 449 0 0 0.0
710 2 0 449 0 0 0.0
711 2 0 449 0 0 0.0
712 2 0 449 0 0 0.0
713 2 0 450 0 0 0.0
714 2 0 450 0 0 0.0
715 2 0 450 0 0 0.0
716 2 0 450 0 0 0.0
717 2 0 450 0 0 0.0
718 2 0 450 0 0 0.0
719 2 0 450 0 0 0.0
720 2 0 450 0 0 0.0
721 2 0 450 0 0 0.0
722 2 0 450 0 0 0.0
723 2 0 450 0 0 0.0
724 2 0 450 0 0 0.0
725 2 0 450 0 0 0.0
726 2 0 450 0 0 0.0
726 1 5 451 5 5 0.5
727 2 0 451 0 0 0.0
728 2 0 451 0 0 0.0
729 2 0 451 0 0 0.0
730 2 0 451 0 0 0.0
731 2 0 451 0 0 0.0
732 2 0 451 0 0 0.0
733 2 0 451 0 0 0.0
734 2 0 451 0 0 0.0
735 2 0 451 0 0 0.0
736 2 0 451 0 0 0.0
737 2 0 451 0 0 0.0
738 2 0 451 0 0 0.0
739 2 0 451 0 0 0.0
740 2 0 451 0 0 0.0
741 2 0 451 0 0 0.0
742 2 0 451 0 0 0.0
743 2 0 451 0 0 0.0
744 2 0 451 0 0 0.0
745 2 0 451 0 0 0.0
745 1 5 451 5 5 0.5
746 2 0 451 0 0 0.0
747 2 0 451 0 0 0.0
748 2 0 451 0 0 0.0
749 2 0 451 0 0 0.0
750 2 0 451 0 0 0.0
751 2 0 451 0 0 0.0
752 2 0 451 0 0 0.0
753 2 0 451 0 0 0.0
754 2 0 451 0 0 0.0
755 2 0 451 0 0 0.0
756 2 0 451 0 0 0.0
757 2 0 451 0 0 0.0
758 2 0 451 0 0 0.0
759 2 0 451 0 0 0.0
760 2 0 451 0 0 0.0
761 2 0 451 0 0 0.0
762 2 0 451 0 0 0.0
763 2 0 451 0 0 0.0
764 2 0 451 0 0 0.0
764 1 5 451 5 5 0.5
765 2 0 451 0 0 0.0
766 2 0 451 0 0 0.0
767 2 0 451 0 0 0.0
768 2 0 451 0 0 0.0
769 1 1 451 1 1 0.1
769 2 0 451 0 0 0.0
770 2 0 451 0 0 0.0
771 2 0 451 0 0 0.0
772 2 0 451 0 0 0.0
773 2 0 451 0 0 0.0
774 2 0 451 0 0 0.0
775 2 0 451 0 0 0.0
776 2 0 451 0 0 0.0
777 2 0 451 0 0 0.0
777 1 5 451 5 5 0.5
778 2 0 451 0 0 0.0
779 2 0 451 0 0 0.0
780 2 0 451 0 0 0.0
780 1 5 451 5 5 0.5
781 2 0 451 0 0 0.0
782 2 0 451 0 0 0.0
783 2 0 451 0 0 0.0
784 2 0 451 0 0 0.0
785 2 0 451 0 0 0.0
786 2 0 451 0 0 0.0
787 2 0 451 0 0 0.0
788 2 0 451 0 0 0.0
789 2 0 451 0 0 0.0
790 2 0 451 0 0 0.0
791 2 0 451 0 0 0.0
792 2 0 451 0 0 0.0
793 2 0 451 0 0 0.0
794 2 0 451 0 0 0.0
795 2 0 451 0 0 0.0
796 2 0 451 0 0 0.0
797 2 0 451 0 0 0.0
797 1 5 451 5 5 0.5
798 2 0 451 0 0 0.0
799 2 0 451 0 0 0.0
799 1 1 451 1 1 0.1
800 2 0 451 0 0 0.0
801 2 0 452 0 0 0.0
802 2 0 452 0 0 0.0
803 2 0 452 0 0 0.0
804 2 0 452 0 0 0.0
805 2 0 452 0 0 0.0
806 2 0 452 0 0 0.0
807 2 0 452 0 0 0.0
